Taxon,Specimen,Abb,NBHF,Cl,SBL,Cw,Ch,W2,ITD,GAN,FC,T
Eubalaena australis,MNHN AZ.MC 1877-93,Eu au,no,61.29,14.94,14.53,7.09,11.95,0.97,0.62,38.59,2.56
Eubalaena glacialis,LACM 54763,Eu gl,no,57.2,8.3,15.4,9.1,NA,1.3,0.9,NA,2.4
Halicetus ignotus,USNM V23636,Ha ig,U,54,21.1,14,8.6,NA,1.3,0.6,NA,2.5
Herpetocetus morrowi,SDSNH 63690,He mo,U,39.1,23.8,11.6,8.1,NA,1.5,0.6,NA,3.3
Megaptera novaeangliae,HSU VM2776,Me no,no,57.6,35.3,18,9.2,NA,2,0.7,NA,2.2
Metopocetus durinasus,USNM V8518,Me du,U,47.8,22.5,10.8,9,NA,0.9,0.8,NA,2.9
Micromysticetus rothauseni,ChM PV7225,Mi ro,U,36.3,25.1,12.4,7.4,NA,1.1,0.5,NA,2.6
Parietobalaena cf. P. securis,SDSNH 61095,Pa se,U,40.1,22.5,15.5,8.3,NA,0.8,0.4,NA,2.7
Parietobalaena palmeri,USNM 517872,Pa pa,U,43.8,21.3,11.5,8.3,NA,1,0.7,NA,2.8
Peripolocetus vexillifer,SDSNH 53999,Pe ve,U,41.6,14.2,11.8,6.7,NA,1,0.5,NA,2.7
Piscobalaena nana,MNHN F.SAS 892,Pi na,U,43.38,13.79,11.04,7.77,8.36,1.04,NA,19.28,2.36
Toothed Mysticeti,ChM PV5720,To my,U,34.3,20,12.2,5.9,NA,1.05,0.49,NA,2.1
Aulophyseter morricei,SDSNH 55015,Au mo,U,32.1,30.4,12.2,5.7,NA,2.1,0.9,NA,1.8
Delphinapterus leucas,MNHN AZ.MC.A3548,De le,no,52.57,46.78,15.23,5.81,12.93,2.64,0.71,20.8,1.75
Echovenator sandersi,GSM 1098,Ec sa,U,33.72,24.34,10.56,4.27,7.99,1.56,0.64,14.48,2
Hyperoodon ampullatus,MNHN 1913-286,Hy am,no,42.36,33.1,15.08,7.46,11.08,3.01,1.1,13.79,1.78
Inia geoffrensis,MNHN uncatalogued,In ge,no,38.3,30.51,12.66,4.4,10.06,1.3,0.75,5.63,1.58
Kentriodon pernix,USNM 8060,Ke pe,U,27.62,21.47,8.83,3.98,6.48,1.05,0.59,3.53,1.72
Kogia breviceps,MNHN 1877-277,Ko br,yes,26.55,21,8.38,4.83,6.25,1.12,0.7,1.67,1.81
Leucopleurus acutus,AMNH 143513,Le ac,no,33.92,24.18,10.16,4.7,8.2,1.63,0.64,2.85,1.92
Lipotes vexillifer,AMNH 57333,Li ve,no,37.75,27.79,11.32,6.03,8.68,1.85,0.67,4.07,2.04
Monodon monoceros,AMNH 254554,Mo mo,no,41.93,31.65,12.4,6.22,10.1,1.63,0.86,10.64,1.81
Phocageneus sp.,USNM 182942,Ph sp,U,43.54,34.26,12.74,4.7,9.75,2.06,NA,6.4,2
Phocoena phocoena,MNHN AZ.MC.A3548,Ph ph,yes,26.29,20.88,9.35,4.3,6.71,1.27,0.69,4.77,1.58
Phocoenoides dalli,MNHN 1992-47,Ph da,yes,24.65,19.8,9.18,3.85,6.58,1.65,0.8,5.54,1.35
Physeter macrocephalus,MNHN 1981-36,Ph ma,no,47.31,38.38,19.14,9.29,14.06,4.01,1.82,8.07,1.58
Pontoporia blainvillei,AMNH 254554,Po bl,yes,30.35,27.86,9.01,4.17,7.49,1.04,0.56,6.91,2.03
Sousa chinensis,MNHN 1993-88,So ch,no,34.05,29.22,11.52,4.1,8.18,2.19,0.69,5.27,1.72
Squalodon calvertensis,USNM 10484,Sq ca,U,26.79,16.6,9.53,4.21,7.94,1.55,NA,5.63,1.63
Stem Odontoceti,ChM PV2776,St Od,U,32,26.1,12.4,7.1,NA,1.8,0.7,NA,2.1
Tursiops truncatus,MNHN AZ.MC.1903-201,Tu tr,no,34.42,28.14,11.13,4.38,8.6,1.94,0.76,4.96,1.75
Zarhachis flagellator,USNM 10484,Za fl,U,34.74,24.96,11.13,4.99,8.28,2.35,0.69,8.82,1.83
Zarhinocetus errabundus,SDSNH 86299,Za er,U,32.7,18.8,10.8,4.9,NA,1.9,0.6,NA,2.3
Ziphius cavirostris,MNHN 1902-218,Zi ca,no,35.35,30.05,14.62,6.78,9.91,2.58,1.12,9.06,1.75
